Circuit,Constructor,Grid,Position
Albert Park Grand Prix Circuit,ferrari,3,1
Albert Park Grand Prix Circuit,ferrari,4,2
Albert Park Grand Prix Circuit,williams,11,3
Albert Park Grand Prix Circuit,bar,8,4
Albert Park Grand Prix Circuit,benetton,9,5
Albert Park Grand Prix Circuit,bar,16,6
Albert Park Grand Prix Circuit,benetton,14,7
Albert Park Grand Prix Circuit,minardi,18,8
Albert Park Grand Prix Circuit,prost,15,9
Albert Park Grand Prix Circuit,sauber,10,10
Albert Park Grand Prix Circuit,williams,21,11
Albert Park Grand Prix Circuit,sauber,19,12
Albert Park Grand Prix Circuit,minardi,22,13
Albert Park Grand Prix Circuit,jordan,5,14
Albert Park Grand Prix Circuit,jordan,6,15
Albert Park Grand Prix Circuit,prost,17,16
Albert Park Grand Prix Circuit,mclaren,1,17
Albert Park Grand Prix Circuit,arrows,13,18
Albert Park Grand Prix Circuit,mclaren,2,19
Albert Park Grand Prix Circuit,arrows,12,20
Albert Park Grand Prix Circuit,jaguar,7,21
Albert Park Grand Prix Circuit,jaguar,20,22
Autódromo José Carlos Pace,ferrari,3,1
Autódromo José Carlos Pace,benetton,5,2
Autódromo José Carlos Pace,jordan,7,3
Autódromo José Carlos Pace,jordan,12,4
Autódromo José Carlos Pace,williams,11,5
Autódromo José Carlos Pace,williams,9,6
Autódromo José Carlos Pace,arrows,14,7
Autódromo José Carlos Pace,arrows,16,8
Albert Park Grand Prix Circuit,ferrari,1,1
Albert Park Grand Prix Circuit,mclaren,6,2
Albert Park Grand Prix Circuit,ferrari,2,3
Albert Park Grand Prix Circuit,sauber,10,4
Albert Park Grand Prix Circuit,jordan,4,5
Albert Park Grand Prix Circuit,sauber,13,6
Albert Park Grand Prix Circuit,bar,9,7
Albert Park Grand Prix Circuit,jaguar,21,8
Albert Park Grand Prix Circuit,prost,14,9
Albert Park Grand Prix Circuit,arrows,15,10
Albert Park Grand Prix Circuit,jaguar,12,11
Albert Park Grand Prix Circuit,minardi,19,12
Albert Park Grand Prix Circuit,benetton,17,13
Albert Park Grand Prix Circuit,benetton,16,14
Albert Park Grand Prix Circuit,williams,11,15
Albert Park Grand Prix Circuit,jordan,7,16
Albert Park Grand Prix Circuit,mclaren,3,17
Albert Park Grand Prix Circuit,williams,5,18
Albert Park Grand Prix Circuit,bar,8,19
Albert Park Grand Prix Circuit,minardi,22,20
Albert Park Grand Prix Circuit,arrows,18,21
Albert Park Grand Prix Circuit,prost,20,22
Sepang International Circuit,ferrari,1,1
Sepang International Circuit,ferrari,2,2
Sepang International Circuit,mclaren,8,3
Sepang International Circuit,jordan,9,4
Sepang International Circuit,williams,3,5
Sepang International Circuit,mclaren,4,6
Sepang International Circuit,arrows,18,7
